customer_id,name,email,phone,address,loyalty_points,discount,insole,mailing_list,gender,shoe_size,credit_card,preferred_category
0758f20a-4421-446c-883e-f677fd8819ac,Mark Gibson,lewismichael@example.org,2554322752,"7111 Lynch Streets Apt. 656
Jeffreyland, MO 71657",407,Medical Personnel,False,False,Female,9.0,MasterCard,stability
41aa9956-be64-464d-9d44-a6eb6b2690cf,Teresa Colon,lshaw@example.net,(223)781-9796,"3129 Francis Island
Robynchester, CO 34306",216,None,False,False,Male,10.5,Visa,neutral
1436762e-4ad1-493e-98aa-fad888ebc4c2,Lisa Sosa,marysharp@example.com,+1-899-510-6877x47466,"924 Karen Trafficway
North Patrickhaven, NC 27351",363,None,False,False,Female,9.0,Visa,neutral
8a3dfa55-199f-4c6a-9710-da1b8a5006f9,Julie Cruz,jesuscollins@example.net,001-357-505-7816x77621,"2497 Farmer Village
Patriciachester, GU 79304",125,Student-Athlete,False,False,Female,9.0,Visa,neutral
dadfc9f4-b8b4-4012-a3f9-5bebdef0a50a,Allison Rogers,smithdeborah@example.org,(987)930-8280x212,"35874 Brandi Ridge Suite 441
North Courtneybury, MA 65085",116,None,False,False,Female,9.0,Visa,neutral
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,Jessica Hunter,esmith@example.com,001-531-412-8720x5085,"878 Jo Cliff Apt. 957
Ponceburgh, MH 35883",157,Doctor Referral,True,True,Male,10.5,Visa,stability
d568d402-9eab-43e4-a749-27d46106e2b6,Lauren Clark,jimenezvicki@example.org,558.510.8969,"2854 Michael Turnpike
South Bonnieburgh, OR 68163",367,Student-Athlete,False,False,Female,9.0,Visa,neutral
82afa0ad-9706-47a6-83ea-2efe8979df68,Terry Green,shelbyferguson@example.net,420.311.4434x8821,"17507 Young Pine Apt. 609
Williamsberg, OK 65738",252,None,False,False,Male,10.5,Visa,neutral
5ce32dff-bd74-4f5a-b7da-a32037919840,Jodi Sampson,harold48@example.net,+1-484-637-9647x5804,"290 Rangel Viaduct Apt. 537
Michaelburgh, NM 75522",116,Military,False,False,Male,10.5,Cash,neutral
ab481440-4cd2-4e8a-9db8-d1d2bab1f05a,Vernon Harding,bfrench@example.org,492-755-4268x9795,"0207 Eddie Gardens Apt. 100
Stevenburgh, CA 39512",311,None,False,False,Male,10.5,Visa,neutral
37f9929b-1f38-49b9-99fa-ba060d5288fb,Christine Miller,brookskevin@example.net,(675)868-2431,"720 Reynolds Haven
Chadfort, VT 44026",470,None,False,False,Male,10.5,Visa,neutral
bcb80a98-5cd7-40ad-a25e-dae45bd188d9,Kathy Anderson,ambercarter@example.com,778-830-2484,"38971 Julie Squares
Jasminemouth, MA 75437",247,None,False,False,Male,10.5,Visa,neutral
